Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
SRTM1N00E025V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,25°00'00"E,1°00'00"N,26°00'00"E,0°00'00"N,26°00'00"E,0°00'00"N,25°00'00"E,1,25,1,26,0,26,0,25,SRTM1N00E025V3,SRTM1N00E025V3
SRTM1N00E026V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,26°00'00"E,1°00'00"N,27°00'00"E,0°00'00"N,27°00'00"E,0°00'00"N,26°00'00"E,1,26,1,27,0,27,0,26,SRTM1N00E026V3,SRTM1N00E026V3
SRTM1N00E027V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,27°00'00"E,1°00'00"N,28°00'00"E,0°00'00"N,28°00'00"E,0°00'00"N,27°00'00"E,1,27,1,28,0,28,0,27,SRTM1N00E027V3,SRTM1N00E027V3
SRTM1N00E028V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,28°00'00"E,1°00'00"N,29°00'00"E,0°00'00"N,29°00'00"E,0°00'00"N,28°00'00"E,1,28,1,29,0,29,0,28,SRTM1N00E028V3,SRTM1N00E028V3
SRTM1N00E029V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,29°00'00"E,1°00'00"N,30°00'00"E,0°00'00"N,30°00'00"E,0°00'00"N,29°00'00"E,1,29,1,30,0,30,0,29,SRTM1N00E029V3,SRTM1N00E029V3
SRTM1N00E030V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,30°00'00"E,1°00'00"N,31°00'00"E,0°00'00"N,31°00'00"E,0°00'00"N,30°00'00"E,1,30,1,31,0,31,0,30,SRTM1N00E030V3,SRTM1N00E030V3
SRTM1N00E031V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,31°00'00"E,1°00'00"N,32°00'00"E,0°00'00"N,32°00'00"E,0°00'00"N,31°00'00"E,1,31,1,32,0,32,0,31,SRTM1N00E031V3,SRTM1N00E031V3
SRTM1N00E032V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,32°00'00"E,1°00'00"N,33°00'00"E,0°00'00"N,33°00'00"E,0°00'00"N,32°00'00"E,1,32,1,33,0,33,0,32,SRTM1N00E032V3,SRTM1N00E032V3
SRTM1N00E033V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,33°00'00"E,1°00'00"N,34°00'00"E,0°00'00"N,34°00'00"E,0°00'00"N,33°00'00"E,1,33,1,34,0,34,0,33,SRTM1N00E033V3,SRTM1N00E033V3
SRTM1N00E034V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,1°00'00"N,34°00'00"E,1°00'00"N,35°00'00"E,0°00'00"N,35°00'00"E,0°00'00"N,34°00'00"E,1,34,1,35,0,35,0,34,SRTM1N00E034V3,SRTM1N00E034V3
SRTM1N00E035V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,1°00'00"N,35°00'00"E,1°00'00"N,36°00'00"E,0°00'00"N,36°00'00"E,0°00'00"N,35°00'00"E,1,35,1,36,0,36,0,35,SRTM1N00E035V3,SRTM1N00E035V3
SRTM1N00E036V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,1°00'00"N,36°00'00"E,1°00'00"N,37°00'00"E,0°00'00"N,37°00'00"E,0°00'00"N,36°00'00"E,1,36,1,37,0,37,0,36,SRTM1N00E036V3,SRTM1N00E036V3
SRTM1N00E037V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,1°00'00"N,37°00'00"E,1°00'00"N,38°00'00"E,0°00'00"N,38°00'00"E,0°00'00"N,37°00'00"E,1,37,1,38,0,38,0,37,SRTM1N00E037V3,SRTM1N00E037V3
SRTM1N00E038V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,1°00'00"N,38°00'00"E,1°00'00"N,39°00'00"E,0°00'00"N,39°00'00"E,0°00'00"N,38°00'00"E,1,38,1,39,0,39,0,38,SRTM1N00E038V3,SRTM1N00E038V3
SRTM1N00E039V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,1°00'00"N,39°00'00"E,1°00'00"N,40°00'00"E,0°00'00"N,40°00'00"E,0°00'00"N,39°00'00"E,1,39,1,40,0,40,0,39,SRTM1N00E039V3,SRTM1N00E039V3
SRTM1N00E040V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,1°00'00"N,40°00'00"E,1°00'00"N,41°00'00"E,0°00'00"N,41°00'00"E,0°00'00"N,40°00'00"E,1,40,1,41,0,41,0,40,SRTM1N00E040V3,SRTM1N00E040V3
SRTM1N00E041V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,1°00'00"N,41°00'00"E,1°00'00"N,42°00'00"E,0°00'00"N,42°00'00"E,0°00'00"N,41°00'00"E,1,41,1,42,0,42,0,41,SRTM1N00E041V3,SRTM1N00E041V3
SRTM1N00E042V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,1°00'00"N,42°00'00"E,1°00'00"N,43°00'00"E,0°00'00"N,43°00'00"E,0°00'00"N,42°00'00"E,1,42,1,43,0,43,0,42,SRTM1N00E042V3,SRTM1N00E042V3
SRTM1N00E043V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,1°00'00"N,43°00'00"E,1°00'00"N,44°00'00"E,0°00'00"N,44°00'00"E,0°00'00"N,43°00'00"E,1,43,1,44,0,44,0,43,SRTM1N00E043V3,SRTM1N00E043V3
SRTM1N00E072V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:27:17.273771-05,1°00'00"N,72°00'00"E,1°00'00"N,73°00'00"E,0°00'00"N,73°00'00"E,0°00'00"N,72°00'00"E,1,72,1,73,0,73,0,72,SRTM1N00E072V3,SRTM1N00E072V3
SRTM1N00E073V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:27:17.273771-05,1°00'00"N,73°00'00"E,1°00'00"N,74°00'00"E,0°00'00"N,74°00'00"E,0°00'00"N,73°00'00"E,1,73,1,74,0,74,0,73,SRTM1N00E073V3,SRTM1N00E073V3
SRTM1N00E097V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 06:25:58.699678-05,1°00'00"N,97°00'00"E,1°00'00"N,98°00'00"E,0°00'00"N,98°00'00"E,0°00'00"N,97°00'00"E,1,97,1,98,0,98,0,97,SRTM1N00E097V3,SRTM1N00E097V3
SRTM1N00E098V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.167221-05,1°00'00"N,98°00'00"E,1°00'00"N,99°00'00"E,0°00'00"N,99°00'00"E,0°00'00"N,98°00'00"E,1,98,1,99,0,99,0,98,SRTM1N00E098V3,SRTM1N00E098V3
SRTM1N00E099V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 06:25:58.699678-05,1°00'00"N,99°00'00"E,1°00'00"N,100°00'00"E,0°00'00"N,100°00'00"E,0°00'00"N,99°00'00"E,1,99,1,100,0,100,0,99,SRTM1N00E099V3,SRTM1N00E099V3
SRTM1N00E100V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.167221-05,1°00'00"N,100°00'00"E,1°00'00"N,101°00'00"E,0°00'00"N,101°00'00"E,0°00'00"N,100°00'00"E,1,100,1,101,0,101,0,100,SRTM1N00E100V3,SRTM1N00E100V3
SRTM1N00E101V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 03:57:12.672229-05,1°00'00"N,101°00'00"E,1°00'00"N,102°00'00"E,0°00'00"N,102°00'00"E,0°00'00"N,101°00'00"E,1,101,1,102,0,102,0,101,SRTM1N00E101V3,SRTM1N00E101V3
SRTM1N00E102V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.167221-05,1°00'00"N,102°00'00"E,1°00'00"N,103°00'00"E,0°00'00"N,103°00'00"E,0°00'00"N,102°00'00"E,1,102,1,103,0,103,0,102,SRTM1N00E102V3,SRTM1N00E102V3
SRTM1N00E103V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 03:57:12.672229-05,1°00'00"N,103°00'00"E,1°00'00"N,104°00'00"E,0°00'00"N,104°00'00"E,0°00'00"N,103°00'00"E,1,103,1,104,0,104,0,103,SRTM1N00E103V3,SRTM1N00E103V3
SRTM1N00E104V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 03:57:12.672229-05,1°00'00"N,104°00'00"E,1°00'00"N,105°00'00"E,0°00'00"N,105°00'00"E,0°00'00"N,104°00'00"E,1,104,1,105,0,105,0,104,SRTM1N00E104V3,SRTM1N00E104V3
SRTM1N00E106V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.539245-05,1°00'00"N,106°00'00"E,1°00'00"N,107°00'00"E,0°00'00"N,107°00'00"E,0°00'00"N,106°00'00"E,1,106,1,107,0,107,0,106,SRTM1N00E106V3,SRTM1N00E106V3
